[admin.py:29] - 2023-10-25 20:46:54,725 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:564] - 2023-10-25 20:46:54,725 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-10-25 20:46:54,741 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\jude\\AppData\\Local\\Programs\\Python\\Python312\\python.exe', 'c:/Users/jude/Desktop/Stuff/Coding/Tools/Luna Tools/Luna Grabber/builder.pyw']
[admin.py:80] - 2023-10-25 20:46:54,741 - INFO - Running command 'C:\\Users\\jude\\AppData\\Local\\Programs\\Python\\Python312\\python.exe' - '"c:/Users/jude/Desktop/Stuff/Coding/Tools/Luna Tools/Luna Grabber/builder.pyw"'
[admin.py:29] - 2023-10-25 20:46:57,895 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,006 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,006 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,006 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-10-25 20:46:58,007 - DEBUG - STREAM b'IDAT' 91 1063
[connectionpool.py:1053] - 2023-10-25 20:47:03,407 - DEBUG - Starting new HTTPS connection (1): discord.com:443
[connectionpool.py:547] - 2023-10-25 20:47:03,901 - DEBUG - https://discord.com:443 "GET /api/webhooks/1120098200121000006/K_H192743BMQoAz2mmCCFDhDjYtatXrPIwPkbZo-T2qeFkIhiLCkWnlm8shPCYEELuDS HTTP/1.1" 200 None
[builder.pyw:426] - 2023-10-25 20:47:13,044 - INFO - Retrieved filename: test
[builder.pyw:395] - 2023-10-25 20:47:13,044 - INFO - Changed filetype: pyinstaller
[builder.pyw:395] - 2023-10-25 20:47:13,044 - INFO - Changed filetype: pyinstaller
